t0	t1	VALUE	ID_participant	ID_partner	ID_dyad	IP_ID	clarity	speech_clean	word_count
316935	317445	ja	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_316935_317445	ok		0
317060	317440	ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_317060_317440	ok		0
317950	320610	en gaat dat dan nu nog lukken om naar Denemarken te gaan als ge dan	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_317950_320610	ok	 gaat  dan nu  lukken   Denemarken te gaan  ge dan	10
319860	320990	nee nee ik heb dus gecanceld	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_319860_320990	ok	     gecanceld	2
320830	321970	ah ok dus	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_320830_321970	ok	  	1
320990	322500	dus vanaf dat 't corona was	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_320990_322500	ok	 vanaf  't corona 	4
323205	326745	toen in de lockdown was ik zo aan 't denken oh help hoelang gaat dit nog duren	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_323205_326745	ok	   lockdown   zo  't denken  help hoelang gaat   duren	9
326305	326895	ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_326305_326895	ok		0
326840	329420	want het leek zo in het begin van de lockdown dat het niet zo lang ging duren	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_326840_329420	ok	  leek zo   begin   lockdown    zo lang ging duren	9
328900	329420	nee	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_328900_329420	ok		0
329460	331540	maar ik had zo echt zo een voorgevoel mh	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_329460_331540	ok	   zo echt zo  voorgevoel 	5
331540	332980	't gaat misschien nog wat langer duren	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_331540_332980	ok	 gaat misschien   langer duren	5
333200	334560	dus euhm	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_333200_334560	ok	 	1
334900	340200	ik dacht ok ik ga misschien beter gewoon cancelen en dan doe ik gewoon master taal- en letterkunde en dan doe ik het jaar daarna	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_334900_340200	ok	 dacht   ga misschien beter gewoon cancelen  dan   gewoon master taal-  letterkunde  dan    jaar daarna	15
340605	341495	ah ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_340605_341495	ok	 	1
340880	342840	culturele studies en dan zal ik dan wel	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_340880_342840	ok	culturele studies  dan   dan 	4
342840	344425	op Erasmus gaan hopelijk	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_342840_344425	ok	 Erasmus gaan hopelijk	4
344025	344545	ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_344025_344545	ok		0
344425	345905	maar we zullen zien hoelang	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_344425_345905	ok	   zien hoelang	3
345315	348725	ik was dat al vergeten dat dat maar een jaar is ja inderdaad (                )	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_345315_348725	unclear	    vergeten     jaar   inderdaad                 	4
347680	349930	ah ja ja da's maar een jaar bij ons taal- en letterkunde	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_347680_349930	ok	      jaar   taal-  letterkunde	4
349930	350690	ja	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_349930_350690	ok		0
350870	352220	ja ik denk dat dat is omdat wij	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_350870_352220	ok	  denk     	2
352220	354630	vaak gewoon andere dingen daarna nog doen	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_352220_354630	ok	vaak gewoon andere dingen daarna  	5
354085	354715	ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_354085_354715	ok		0
354860	359300	en dat als dat al twee jaar zou zijn want de meeste mensen doen ook nog ja lerarenopleiding d'erbij	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_354860_359300	ok	     twee jaar     meeste mensen     lerarenopleiding d'erbij	8
358310	359510	ah ja inderdaad	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_358310_359510	ok	  inderdaad	2
359470	360990	dus da's dan nog eens een jaar	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_359470_360990	ok	  dan    jaar	3
361060	364310	en veel mensen doen zo bedrijfscommunicatie of culturele studies	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_361060_364310	ok	 veel mensen  zo bedrijfscommunicatie  culturele studies	7
363835	364545	ah	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_363835_364545	ok		0
364710	366450	nemen die daar nog bij dus	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_364710_366450	ok	nemen  daar   	2
366690	367810	ah ok	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_366690_367810	ok	 	1
367180	369240	ja ik ben blij dat dat maar een jaar is eigenlijk	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_367180_369240	ok	   blij     jaar  eigenlijk	4
369240	370600	en dat dat niet nog eens twee jaar is	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_369240_370600	ok	      twee jaar 	3
370600	372330	alhoewel eigenlijk ik hou van studeren dus	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_370600_372330	ok	alhoewel eigenlijk  hou  studeren 	4
372315	373315	ah ok @	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_372315_373315	unclear	  	1
372755	374025	ik vind dat niet zo erg	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_372755_374025	ok	 vind   zo erg	4
374340	377000	allez ja bij taal- en letterkunde vind ik studeren niet zo erg	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_374340_377000	ok	   taal-  letterkunde vind  studeren  zo erg	7
376890	377530	ah ok	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_376890_377530	ok	 	1
377330	378590	wat hebt ge in 't middelbaar gedaan	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_377330_378590	ok	  ge  't middelbaar 	4
378530	379740	euhm Latijn-wiskunde	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_378530_379740	ok	Latijn-wiskunde	2
379765	380165	ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_379765_380165	ok		0
